GEOID,Neighborhood
22071000100,Algiers Point
22071000200,McDonogh
22071000300,McDonogh
22071000400,Whitney
22071000601,Fischer Development
22071000602,Behrman
22071000603,Behrman
22071000604,Behrman
22071000605,U.S. Naval Support Area
22071000606,Old Aurora
22071000607,Old Aurora
22071000611,"New Aurora/
English Turn"
22071000612,"New Aurora/
English Turn"
22071000613,"Tall Timbers/
Brechtel"
22071000615,Old Aurora
22071000616,Old Aurora
22071000617,"Tall Timbers/
Brechtel"
22071000618,"Tall Timbers/
Brechtel"
22071000701,Lower Ninth Ward
22071000702,Holy Cross
22071000800,Holy Cross
22071000901,Lower Ninth Ward
22071000902,Lower Ninth Ward
22071000903,Lower Ninth Ward
22071000904,Lower Ninth Ward
22071001100,Bywater
22071001200,Bywater
22071001301,St. Claude
22071001302,St. Claude
22071001401,Florida Area
22071001402,St. Claude
22071001500,St. Claude
22071001600,Florida Development
22071001701,Pontchartrain Park
22071001702,Gentilly Woods
22071001720,Pines Village
22071001722,Plum Orchard
22071001723,Read Blvd West
22071001724,Little Woods
22071001725,Little Woods
22071001730,Village de l'est
22071001734,Lake Catherine
22071001735,West Lake Forest
22071001736,West Lake Forest
22071001737,Little Woods
22071001739,Little Woods
22071001740,Little Woods
22071001741,Village de l'est
22071001743,Little Woods
22071001744,Little Woods
22071001745,Little Woods
22071001746,Little Woods
22071001747,Read Blvd East
22071001748,Read Blvd East
22071001749,Village de l'est
22071001750,Village de l'est
22071001751,"Viavant/
Venetian Isles"
22071001800,Marigny
22071001900,St. Roch
22071002000,St. Roch
22071002100,St. Roch
22071002200,St. Roch
22071002300,St. Roch
22071002401,Gentilly Terrace
22071002402,Gentilly Terrace
22071002501,Milneburg
22071002502,Milneburg
22071002503,Gentilly Terrace
22071002504,Gentilly Terrace
22071002600,Marigny
22071002700,Seventh Ward
22071002800,Seventh Ward
22071002900,Seventh Ward
22071003000,Seventh Ward
22071003100,Seventh Ward
22071003301,Filmore
22071003302,Filmore
22071003303,St. Anthony
22071003304,St. Anthony
22071003307,Dillard
22071003308,Dillard
22071003400,Seventh Ward
22071003500,Seventh Ward
22071003600,Seventh Ward
22071003701,Fairgrounds
22071003702,Fairgrounds
22071003800,French Quarter
22071003900,Treme'/Lafitte
22071004000,Treme'/Lafitte
22071004100,Bayou St. John
22071004401,Treme'/Lafitte
22071004402,Treme'/Lafitte
22071004500,Bayou St. John
22071004600,City Park
22071004800,Iberville Development
22071004900,Tulane/Gravier
22071005000,Mid-City
22071005400,Mid-City
22071005500,Navarre
22071005601,Lakeview
22071005602,Lakeview
22071005603,Lakeview
22071005604,Lakeview
22071006000,Tulane/Gravier
22071006300,Mid-City
22071006400,Mid-City
22071006500,Mid-City
22071006900,B.W. Cooper
22071007000,Gert Town
22071007101,Mid-City
22071007200,Gert Town
22071007501,Hollygrove
22071007502,Hollygrove
22071007604,Lakewood
22071007605,Dixon
22071007606,West End
22071007700,Lower Garden District
22071007800,Lower Garden District
22071008200,Lower Garden District
22071008300,Lower Garden District
22071008400,Central City
22071008500,Central City
22071008600,Central City
22071008800,Irish Channel
22071009000,Garden District
22071009100,Central City
22071009200,Central City
22071009400,Central City
22071009600,East Riverside
22071009700,East Riverside
22071009900,Touro
22071010000,Milan
22071010100,Milan
22071010200,Milan
22071010300,Broadmoor
22071010600,West Riverside
22071010700,Uptown
22071010800,Uptown
22071010900,Uptown
22071011100,Freret
22071011200,Broadmoor
22071011400,West Riverside
22071011500,Audubon
22071011600,Audubon
22071011700,Audubon
22071011900,Audubon
22071012000,Audubon
22071012101,Audubon
22071012102,Audubon
22071012200,"Marlyville/
Fontainebleau"
22071012300,Broadmoor
22071012400,"Marlyville/
Fontainebleau"
22071012500,Black Pearl
22071012600,East Carrollton
22071012700,East Carrollton
22071012800,"Marlyville/
Fontainebleau"
22071012900,Leonidas
22071013000,Leonidas
22071013100,Leonidas
22071013200,Leonidas
22071013301,"Lakeshore/
Lake Vista"
22071013302,Lake Terrace & Oaks
22071013400,Central Business District
22071013500,French Quarter
22071013600,St. Claude
22071013700,Desire Dev & Neighborhood
22071013800,St. Bernard Area
22071013900,Central City
22071014000,Central City
22071014100,St. Thomas Development
22071014200,Irish Channel
22071014300,Central City
22071014400,West Riverside
22071014500,Mid-City
22071980000,City Park
22071980100,"Viavant/
Venetian Isles"
22071990000,Z-no land mass-all Lake
