"","ageGrp","weightedSumProbDeath","weightedAvgProbDeath","geo"
"1","15-24",28739.418976,0.0127725698743472,"New Orleans metro"
"2","25-34",37226.672519,0.0165445333580138,"New Orleans metro"
"3","35-44",53704.732646,0.0238678259597731,"New Orleans metro"
"4","45-54",110564.77565,0.0491379566097163,"New Orleans metro"
"5","5-14",4755.695814,0.00211355898100031,"New Orleans metro"
"6","55-64",220662.573713,0.098068375834467,"New Orleans metro"
"7","15-24",4703651.204452,0.00817313995197587,"United States"
"8","25-34",6878740.393148,0.0119526098944784,"United States"
"9","35-44",10293024.903399,0.017885325549868,"United States"
"10","45-54",23317540.843529,0.0405169338384816,"United States"
"11","5-14",1005039.688493,0.0017463731204322,"United States"
"12","55-64",48015183.483564,0.0834319547460343,"United States"
