"","stateCode","LE","popSum"
"1","01","75",9152628
"2","02","79",1316119
"3","04","79",11406128
"4","05","76",5664463
"5","06","80",71816220
"6","08","80",9185633
"7","09","80",6820691
"8","10","78",1720409
"9","11","77",1153090
"10","12","79",35660675
"11","13","77",18209582
"12","15","81",2598102
"13","16","79",3128837
"14","17","79",24434879
"15","18","77",12564378
"16","19","79",5941288
"17","20","78",5511680
"18","21","76",8335285
"19","22","76",8641710
"20","24","79",11080147
"21","25","81",12666422
"22","26","78",18843621
"23","27","81",10327131
"24","28","75",5805251
"25","29","77",11599272
"26","30","79",1935209
"27","31","79",3545351
"28","32","78",4862917
"29","33","80",2556145
"30","34","80",16938408
"31","35","79",3908727
"32","36","81",37199404
"33","37","78",17876441
"34","38","80",1317789
"35","39","77",22082537
"36","40","76",7343726
"37","41","79",7456753
"38","42","79",24606837
"39","44","79",1981938
"40","45","77",8926535
"41","46","80",1573220
"42","47","76",11890747
"43","48","78",47142977
"44","49","80",5188608
"45","50","81",1206694
"46","51","79",14610700
"47","53","80",13157062
"48","54","76",3585305
"49","56","80",1023450
